community_id;date_created;title;current_subs;ID;Href;Verivication;First post;Second post
52724957380679;02.06.2015;Работа и свежие вакансии на Карьерист.ру;868321;1;https://ok.ru/group/52724957380679;ЛОЖЬ;16 авг 2023;10:01
50917909725374;24.08.2011;Учительский портал;154092;2;https://ok.ru/group/50917909725374;ЛОЖЬ;24 мая;11:20
54258520752131;24.04.2013;Работа.ру;119350;3;https://ok.ru/group/54258520752131;ИСТИНА;31 мая;29 мая
53349984502003;25.12.2014;Работа-Ок;105703;4;https://ok.ru/group/53349984502003;ЛОЖЬ;30 мая;31 мая
51762327912656;11.12.2012;hh.ru;87592;5;https://ok.ru/group/51762327912656;ИСТИНА;22 мая;вчера 12:00
54537391308923;19.07.2017;Золотые руки. Вакансии во всем мире;81169;6;https://ok.ru/group/54537391308923;ЛОЖЬ;6 янв;6:24
54556891611251;12.08.2017;Вакансии для фермеров;62040;7;https://ok.ru/group/54556891611251;ЛОЖЬ;7 янв;вчера 22:17
53524899365085;19.07.2017;Домашний мастер. Вакансии;58716;8;https://ok.ru/group/53524899365085;ЛОЖЬ;6 янв;вчера 22:18
52034497085558;25.01.2012;Workle Pro. Удаленная работа и подработка для всех;55149;9;https://ok.ru/group/52034497085558;ЛОЖЬ;27 янв;8:40
54570631954463;02.04.2013;Работа в Европе. Бесплатные вакансии;42098;11;https://ok.ru/group/54570631954463;ЛОЖЬ;26 авг 2022;11:56
53308087664802;13.09.2016;РАБОТА.ЧЕХИЯ.;40756;12;https://ok.ru/group/53308087664802;ЛОЖЬ;21 мар;29 мая
58191172665394;12.01.2017;Вахта. Работа. Вакансии. Издание Вахта;37097;13;https://ok.ru/group/58191172665394;ЛОЖЬ;6 мая;11:00
43916897615991;13.11.2008;"Наша работа-ОАО""РЖД""";34686;15;https://ok.ru/group/43916897615991;ЛОЖЬ;9:44;вчера 08:19
53540735877217;14.05.2015;ВАКАНСИИ ВАХТОЙ - Вступай в братство вахтовиков!;31935;17;https://ok.ru/group/53540735877217;ЛОЖЬ;вчера 13:03;вчера 13:03
56901065244906;18.07.2019;РАБОТА В НОВОСИБИРСКЕ!!!;31652;18;https://ok.ru/group/56901065244906;ЛОЖЬ;5 апр 2023;1:42
54585280233706;25.06.2017;РАБОТА В КРАСНОЯРСКЕ!!!;30529;19;https://ok.ru/group/54585280233706;ЛОЖЬ;5 апр 2023;1:40
52680587542617;23.04.2015;✈ РЕЙС НОМЕР  ........;29579;20;https://ok.ru/group/52680587542617;ЛОЖЬ;27 дек 2021;11:28
58238051287212;02.07.2020;СЕЗОННАЯ РАБОТА НА МОРЕ С ПРОЖИВАНИЕМ  -2024;29322;21;https://ok.ru/group/58238051287212;ЛОЖЬ;вчера 16:09;8:30
52571886059586;29.01.2015;Работа - superjob.ru - Вакансии;28642;22;https://ok.ru/group/52571886059586;ЛОЖЬ;10:32;вчера 13:00
52745392029942;13.12.2012;Работа вахтой - отдел кадров 89197667586;24015;25;https://ok.ru/group/52745392029942;ЛОЖЬ;27 мая;10 апр
54343303626932;07.09.2018;Работа в Германии;23990;26;https://ok.ru/group/54343303626932;ЛОЖЬ;20 окт 2023;вчера 14:22
53076345159793;16.03.2014;СЕЗОННАЯ РАБОТА ЛЕТОМ НА МОРЕ 2024 С ПРОЖИВАНИЕМ;23986;27;https://ok.ru/group/53076345159793;ЛОЖЬ;25 янв 2018;11:55
51764757528716;05.12.2013;Пожарная часть;23075;29;https://ok.ru/group/51764757528716;ЛОЖЬ;вчера 21:58;вчера 21:56
56799614730341;22.11.2019;Работа. Вакансии. Кемерово;22866;30;https://ok.ru/group/56799614730341;ЛОЖЬ;10:58;4:48
62949848252591;16.11.2021;Работа СПб (Санкт-Петербург и ЛО);22578;31;https://ok.ru/group/62949848252591;ЛОЖЬ;9:20;9:15
54013691691184;29.01.2018;Заработок дома!!! от 1200 р в день;22481;32;https://ok.ru/group/54013691691184;ЛОЖЬ;12 ноя 2019;14 мар
55178493362185;24.10.2017;Zarplataburg - вакансии и работа в Екатеринбурге;19788;34;https://ok.ru/group/55178493362185;ЛОЖЬ;31 мая;31 мая
53110189064378;10.04.2016;РАБОТА в НОВОКУЗНЕЦКЕ и обл.;19009;36;https://ok.ru/group/53110189064378;ЛОЖЬ;31 мая;31 мая
53291729682679;06.11.2014;Работа в Красноярске;18904;37;https://ok.ru/group/53291729682679;ЛОЖЬ;12:00;10:00
53747947667568;10.11.2015;Работа45 в Кургане;17462;39;https://ok.ru/group/53747947667568;ЛОЖЬ;13 мая;12:05
53191319879797;25.06.2014;Профи;16070;41;https://ok.ru/group/53191319879797;ИСТИНА;29 мая;22 мая
52855631184120;23.05.2013;Сварщики вахтовики;15973;42;https://ok.ru/group/52855631184120;ЛОЖЬ;7 мая;30 апр
57566251253817;09.10.2015;РАБОТА ВАХТОЙ;15971;43;https://ok.ru/group/57566251253817;ИСТИНА;30 мая;7 мая
52965416108202;22.01.2016;Fuska in Prague - Работа в Праге и Чехии;15933;44;https://ok.ru/group/52965416108202;ЛОЖЬ;18 апр;18 апр
57227110121475;22.09.2020;Работа в «Магнит»;15542;45;https://ok.ru/group/57227110121475;ЛОЖЬ;вчера 20:30;1 июн
52996663279686;03.01.2016;Работа в Чите.;15172;46;https://ok.ru/group/52996663279686;ЛОЖЬ;8 фев;1 июн
54697443065958;10.11.2017;"Работа ""на золото""";14478;49;https://ok.ru/group/54697443065958;ИСТИНА;6 мая;30 апр
58060387713096;27.08.2020;Фриланс Удаленная работа в интернете Бизнес;13791;52;https://ok.ru/group/58060387713096;ЛОЖЬ;1 июл 2022;27 фев
52620785483955;29.04.2015;РАБОТА И БИЗНЕС;12888;55;https://ok.ru/group/52620785483955;ЛОЖЬ;21 апр;21 апр
54690888548364;12.11.2015;Найти вакансии, ищу работу на ГородРабот.ру;12525;57;https://ok.ru/group/54690888548364;ЛОЖЬ;30 мая;22 мая
64911872491566;11.11.2020;ВАХТА I ИНФО;12252;58;https://ok.ru/group/64911872491566;ЛОЖЬ;20 дек 2023;10:27
52017809064124;08.07.2013;Нефть и Газ;12188;59;https://ok.ru/group/52017809064124;ЛОЖЬ;10 фев;19 фев
58552070111234;29.08.2021;Работа в Польше, Чехии, Финляндии для русских;11954;60;https://ok.ru/group/58552070111234;ЛОЖЬ;7 июл 2022;11:56
58156909789369;23.06.2020;Есть работа в Перми!;11793;61;https://ok.ru/group/58156909789369;ЛОЖЬ;27 мая;12:02
55381002944748;19.08.2018;РАБОТА ВАХТОЙ;11275;62;https://ok.ru/group/55381002944748;ЛОЖЬ;вчера 14:59;вчера 14:46
55151864185014;20.03.2019;ОМС Работа вахтой;11221;63;https://ok.ru/group/55151864185014;ЛОЖЬ;31 мая;29 мая
